,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,10.0,6.0,12.0,110.0,0.0,0.0,0.0,40.0
s1_c1,9.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0
s1_c2,7.0,0.0,1.0,5.0,30.0,63.0,0.0,260.0
s1_c3,30.0,2.0,97.0,29.0,6.0,3.0,0.0,21.0
s1_c4,2.0,0.0,0.0,0.0,0.0,0.0,81.0,6.0
s1_c5,58.0,76.0,0.0,18.0,3.0,46.0,0.0,11.0
s1_c6,0.0,0.0,121.0,22.0,26.0,2.0,0.0,53.0
s1_c7,2.0,1.0,0.0,22.0,132.0,27.0,0.0,14.0
