cluster,reference_cluster,jaccard,block_position
0,0,0.3276,6
1,1,0.6364,0
2,4,0.406,1
3,3,0.8453,2
4,7,0.3137,5
5,6,0.1102,4
6,2,0.4972,3
7,5,0.4098,7
