cluster,reference_cluster,jaccard,block_position
0,3,0.7091,2
1,5,0.6856,6
2,4,0.4212,1
3,6,0.6425,7
4,7,0.6684,0
5,1,0.4647,4
6,0,0.0336,5
7,2,0.5536,3
