cluster,reference_cluster,jaccard,block_position
0,3,0.4457,3
1,4,0.3769,1
2,7,0.5547,7
3,6,0.6285,2
4,5,0.1181,4
5,0,0.2739,6
6,2,0.3063,0
7,1,0.3864,5
