,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,14.0,8.0,20.0,35.0,60.0,0.0,3.0,12.0,41.0
s1_c1,5.0,2.0,4.0,2.0,0.0,36.0,2.0,30.0,9.0
s1_c2,25.0,22.0,19.0,20.0,1.0,2.0,4.0,8.0,42.0
s1_c3,1.0,4.0,12.0,15.0,11.0,0.0,95.0,13.0,30.0
s1_c4,23.0,13.0,30.0,14.0,1.0,53.0,3.0,6.0,22.0
s1_c5,42.0,34.0,31.0,38.0,2.0,2.0,23.0,166.0,45.0
s1_c6,8.0,5.0,6.0,2.0,95.0,0.0,0.0,4.0,15.0
s1_c7,64.0,9.0,10.0,32.0,1.0,3.0,9.0,21.0,33.0
s1_c8,17.0,15.0,13.0,10.0,57.0,6.0,1.0,10.0,23.0
