cluster,reference_cluster,jaccard,block_position
0,4,0.1582,1
1,7,0.3043,5
2,2,0.0549,3
3,6,0.1495,4
4,3,0.503,2
5,1,0.3953,0
6,0,0.289,6
7,5,0.0989,7
