,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,36.0,3.0,42.0,9.0,67.0,13.0,31.0,31.0
s1_c1,16.0,198.0,59.0,4.0,2.0,16.0,43.0,4.0
s1_c2,6.0,3.0,21.0,7.0,3.0,7.0,40.0,137.0
s1_c3,13.0,15.0,49.0,6.0,37.0,36.0,18.0,21.0
s1_c4,3.0,24.0,6.0,7.0,1.0,117.0,24.0,16.0
s1_c5,46.0,94.0,17.0,11.0,0.0,7.0,9.0,9.0
s1_c6,83.0,4.0,38.0,2.0,8.0,2.0,22.0,8.0
s1_c7,1.0,10.0,3.0,81.0,1.0,2.0,14.0,25.0
