cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,100,14,70,0.7,8,24.0375,0.11322499999999999
1,179,13,62,0.3463687150837989,10,25.7825,0.10519553072625698
2,177,22,38,0.21468926553672316,25,25.6775,0.10569209039548022
3,142,8,115,0.8098591549295775,26,25.2225,0.10910211267605635
4,126,18,34,0.2698412698412698,23,24.8325,0.11081349206349206
5,83,5,69,0.8313253012048193,11,23.195,0.11798192771084338
6,128,15,68,0.53125,25,24.8475,0.11078125
7,147,17,47,0.3197278911564626,1,25.3225,0.11052721088435373
8,115,18,21,0.1826086956521739,25,24.5275,0.11441304347826087
9,212,14,60,0.2830188679245283,18,26.1075,0.10531839622641509
10,90,14,18,0.2,3,23.6575,0.11616666666666667
11,54,4,47,0.8703703703703703,17,20.6875,0.13157407407407407
12,127,5,119,0.937007874015748,22,24.9475,0.11131889763779529
