cluster,reference_cluster,jaccard,block_position
0,7,0.6339,6
1,0,0.839,3
2,6,0.0427,10
3,2,0.6605,0
4,10,0.974,11
5,5,0.7733,9
6,3,0.6489,4
7,1,0.5889,12
8,9,0.3136,5
9,12,0.748,8
10,11,0.3737,1
11,8,0.6903,7
12,4,0.4713,2
