cluster,reference_cluster,jaccard,block_position
0,5,0.1893,7
1,1,0.3704,0
2,0,0.2846,6
3,3,0.4551,2
4,4,0.0813,1
5,7,0.3745,5
6,2,0.027,3
7,6,0.2397,4
