cluster,reference_cluster,jaccard,block_position
0,3,0.1157,3
1,4,0.0892,1
2,7,0.1405,7
3,1,0.3201,5
4,6,0.5321,2
5,0,0.3133,6
6,5,0.1782,4
7,2,0.0884,0
