,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,9.0,9.0,15.0,118.0,0.0,270.0
s1_c1,27.0,17.0,39.0,173.0,0.0,22.0
s1_c2,259.0,0.0,8.0,18.0,0.0,12.0
s1_c3,12.0,33.0,113.0,3.0,0.0,48.0
s1_c4,35.0,160.0,29.0,21.0,0.0,28.0
s1_c5,20.0,12.0,3.0,5.0,81.0,25.0
