,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,102.0,24.0,5.0,2.0,2.0,2.0,12.0,7.0,3.0,26.0
s1_c1,4.0,117.0,15.0,7.0,4.0,49.0,1.0,0.0,37.0,38.0
s1_c2,2.0,0.0,8.0,1.0,1.0,10.0,107.0,3.0,2.0,33.0
s1_c3,4.0,6.0,3.0,2.0,59.0,13.0,3.0,0.0,3.0,16.0
s1_c4,0.0,9.0,1.0,5.0,28.0,72.0,14.0,12.0,11.0,4.0
s1_c5,4.0,2.0,6.0,1.0,7.0,15.0,30.0,2.0,66.0,13.0
s1_c6,1.0,8.0,8.0,62.0,8.0,13.0,8.0,28.0,11.0,20.0
s1_c7,3.0,46.0,2.0,1.0,4.0,16.0,40.0,39.0,8.0,31.0
s1_c8,0.0,73.0,39.0,26.0,1.0,4.0,4.0,8.0,9.0,8.0
s1_c9,5.0,10.0,85.0,0.0,3.0,2.0,4.0,1.0,2.0,4.0
