,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,41.0,5.0,22.0,136.0,19.0,15.0,9.0,1.0
s1_c1,16.0,25.0,29.0,5.0,0.0,246.0,0.0,0.0
s1_c2,23.0,0.0,3.0,0.0,6.0,4.0,123.0,0.0
s1_c3,0.0,14.0,7.0,8.0,204.0,1.0,2.0,0.0
s1_c4,6.0,4.0,113.0,1.0,3.0,66.0,23.0,0.0
s1_c5,16.0,161.0,2.0,0.0,3.0,14.0,2.0,5.0
s1_c6,4.0,1.0,12.0,4.0,14.0,1.0,5.0,85.0
s1_c7,125.0,19.0,0.0,40.0,3.0,14.0,9.0,0.0
