cluster,reference_cluster,jaccard,block_position
0,2,0.3949,0
1,4,0.1518,1
2,7,0.0,7
3,3,0.1895,3
4,6,0.39,2
5,0,0.0,6
6,5,0.0769,4
7,1,0.2458,5
