,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,78.0,34.0,73.0,32.0,4.0,4.0,24.0
s1_c1,6.0,4.0,8.0,1.0,7.0,83.0,0.0
s1_c2,57.0,36.0,53.0,189.0,39.0,36.0,5.0
s1_c3,27.0,11.0,8.0,6.0,15.0,12.0,165.0
s1_c4,74.0,64.0,44.0,32.0,37.0,8.0,8.0
s1_c5,45.0,15.0,30.0,13.0,7.0,4.0,71.0
s1_c6,22.0,35.0,13.0,1.0,80.0,0.0,4.0
