,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,71.0,6.0,3.0,34.0,0.0,15.0,33.0,5.0,0.0,7.0
s1_c1,5.0,69.0,59.0,12.0,1.0,12.0,1.0,6.0,0.0,24.0
s1_c2,3.0,9.0,4.0,79.0,0.0,4.0,10.0,23.0,0.0,0.0
s1_c3,4.0,27.0,213.0,16.0,0.0,25.0,0.0,1.0,0.0,27.0
s1_c4,12.0,20.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,17.0
s1_c5,10.0,8.0,2.0,6.0,1.0,2.0,1.0,99.0,0.0,16.0
s1_c6,0.0,16.0,0.0,6.0,0.0,0.0,127.0,1.0,0.0,0.0
s1_c7,3.0,1.0,13.0,7.0,0.0,115.0,0.0,5.0,0.0,12.0
s1_c8,2.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,81.0,2.0
s1_c9,4.0,7.0,4.0,0.0,4.0,5.0,0.0,7.0,0.0,132.0
