cluster,reference_cluster,jaccard,block_position
0,5,0.1469,6
1,7,0.4114,0
2,3,0.4071,2
3,4,0.1686,1
4,1,0.4176,4
5,2,0.0571,3
6,6,0.2708,7
7,0,0.3418,5
