,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,65.0,72.0,12.0,13.0,17.0,51.0,19.0
s1_c1,7.0,11.0,69.0,7.0,0.0,3.0,12.0
s1_c2,52.0,49.0,163.0,31.0,2.0,65.0,53.0
s1_c3,7.0,37.0,9.0,15.0,153.0,13.0,10.0
s1_c4,37.0,69.0,18.0,34.0,1.0,43.0,65.0
s1_c5,28.0,49.0,11.0,6.0,63.0,9.0,19.0
s1_c6,13.0,25.0,1.0,62.0,4.0,15.0,35.0
