,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,14.0,5.0,13.0,40.0,0.0,3.0,122.0,7.0
s1_c1,8.0,2.0,0.0,120.0,1.0,31.0,15.0,0.0
s1_c2,2.0,108.0,3.0,4.0,1.0,12.0,0.0,0.0
s1_c3,1.0,1.0,10.0,3.0,0.0,7.0,15.0,140.0
s1_c4,5.0,0.0,3.0,2.0,85.0,2.0,4.0,1.0
s1_c5,2.0,0.0,316.0,5.0,2.0,25.0,28.0,13.0
s1_c6,12.0,48.0,15.0,14.0,0.0,131.0,7.0,35.0
s1_c7,134.0,5.0,6.0,0.0,0.0,1.0,33.0,2.0
