cluster,reference_cluster,jaccard,block_position
0,2,0.5526,3
1,0,0.5312,5
2,6,0.3005,7
3,1,0.4715,4
4,3,0.7622,2
5,4,0.3286,1
6,7,0.6209,0
7,5,0.3197,6
