,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,50.0,5.0,158.0,35.0,3.0,11.0
s1_c1,63.0,34.0,28.0,61.0,75.0,5.0
s1_c2,23.0,57.0,42.0,26.0,2.0,16.0
s1_c3,33.0,296.0,4.0,81.0,28.0,19.0
s1_c4,26.0,19.0,22.0,55.0,18.0,107.0
s1_c5,44.0,8.0,24.0,66.0,65.0,71.0
