cluster,reference_cluster,jaccard,block_position
0,8,0.4505,11
1,9,0.0664,6
2,6,0.1656,3
3,7,0.7088,9
4,3,0.3382,5
5,5,0.4599,8
6,4,0.7292,2
7,1,0.3058,10
8,11,0.6777,7
9,0,0.53,0
10,2,0.2961,4
11,10,0.2143,1
