,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,10.0,2.0,18.0,3.0,8.0,9.0,2.0,2.0,131.0
s1_c1,113.0,0.0,6.0,4.0,1.0,5.0,3.0,4.0,29.0
s1_c2,13.0,24.0,6.0,6.0,2.0,76.0,0.0,9.0,4.0
s1_c3,37.0,4.0,0.0,0.0,16.0,17.0,69.0,0.0,5.0
s1_c4,14.0,1.0,1.0,50.0,103.0,6.0,1.0,4.0,0.0
s1_c5,10.0,3.0,3.0,9.0,1.0,3.0,0.0,158.0,2.0
s1_c6,32.0,0.0,23.0,243.0,32.0,1.0,0.0,21.0,5.0
s1_c7,1.0,124.0,63.0,0.0,8.0,6.0,0.0,3.0,1.0
s1_c8,8.0,15.0,0.0,8.0,66.0,4.0,0.0,2.0,7.0
