,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,11.0,55.0,8.0,27.0,31.0,51.0,1.0,20.0
s1_c1,29.0,56.0,1.0,18.0,36.0,30.0,3.0,4.0
s1_c2,94.0,1.0,2.0,1.0,15.0,5.0,11.0,1.0
s1_c3,20.0,3.0,7.0,89.0,26.0,7.0,4.0,21.0
s1_c4,3.0,0.0,0.0,2.0,6.0,3.0,86.0,2.0
s1_c5,3.0,8.0,10.0,36.0,46.0,46.0,31.0,211.0
s1_c6,111.0,5.0,11.0,31.0,46.0,30.0,2.0,26.0
s1_c7,7.0,17.0,81.0,13.0,24.0,36.0,2.0,1.0
