,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,173.0,1.0,23.0,0.0,0.0,18.0,38.0
s1_c1,1.0,2.0,1.0,0.0,20.0,9.0,170.0
s1_c2,0.0,234.0,46.0,10.0,47.0,6.0,27.0
s1_c3,3.0,13.0,6.0,97.0,39.0,23.0,44.0
s1_c4,1.0,7.0,133.0,6.0,0.0,4.0,77.0
s1_c5,2.0,0.0,7.0,0.0,26.0,95.0,44.0
s1_c6,0.0,11.0,2.0,1.0,161.0,16.0,36.0
