cluster,reference_cluster,jaccard,block_position
0,6,0.5768,2
1,1,0.0,5
2,2,0.3015,0
3,5,0.0655,4
4,7,0.004,7
5,4,0.246,1
6,3,0.3072,3
7,0,0.1559,6
