comparison,axis,rank,weighting,cluster_1,cluster_2,r_centred,r_plain,overlap,n_1,n_2,null_plain_mean,null_plain_sd,z_plain,p_plain,null_within_mean,null_within_sd,z_within,p_within
cnmf_vs_kmeans_concat_hg,A algorithms,1,hard,1,7,0.9801282179352717,0.9644531491025153,0.9,90.0,81.0,0.049018770422302564,0.011825798203319885,71.95972863284607,0.000999000999000999,0.8099587627943065,0.0128325980504461,7.016602316361298,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,2,hard,5,8,0.9720125090888758,0.98591398943337,0.6069767441860465,383.0,308.0,0.08882642651276734,0.02311257073402094,22.4185497855753,0.000999000999000999,0.2753865267288725,0.013479095315948375,24.600331823816003,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,3,hard,6,1,0.9687069716505715,0.8804870021592698,0.6098901098901099,135.0,158.0,0.05855506923044924,0.013569298250458599,40.631065106187584,0.000999000999000999,0.35482462635542844,0.016718461269456013,15.256516698739276,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,4,hard,3,0,0.9576311292111316,0.9354340737281438,0.5666666666666667,181.0,195.0,0.06688586302011838,0.01647943069033817,30.327552755785913,0.000999000999000999,0.15253941126557818,0.016017797314615268,25.8541950098983,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,5,hard,4,6,0.9400093294794631,0.6606578385125875,0.553763440860215,165.0,124.0,0.06341736664509187,0.015223108457810533,32.21064052549273,0.000999000999000999,0.2864481004584045,0.01617219499722945,16.529317167373122,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,6,hard,2,2,0.9031873229464558,0.7619334315505135,0.40969162995594716,143.0,177.0,0.05783024288365003,0.014588899526204716,24.11843240405354,0.000999000999000999,0.06269685785419683,0.01404099577088631,24.71297461831277,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,7,hard,0,4,0.8433324648658611,0.8566159540677185,0.3079584775086505,193.0,185.0,0.06727845315568952,0.01654440256284582,14.54751982966506,0.000999000999000999,0.1295307942817588,0.01392441010540117,12.814020980154917,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,8,hard,7,5,0.8387489739201782,0.6918711511697813,0.4551971326164875,182.0,224.0,0.0647467666134949,0.015890318786022966,24.571587975090246,0.000999000999000999,0.15277754337786786,0.01378062116956084,21.945279934595074,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,9,hard,8,3,-0.29221973631170484,0.7318224185399974,0.08,152.0,172.0,0.059807221064294154,0.014731192894323477,1.370749747190327,0.09290709290709291,0.11507758319483372,0.01861124744863581,-1.8847518572649398,0.961038961038961
cnmf_vs_kmeans_concat_hg,A algorithms,1,weighted,1,7,0.9801282179352717,0.9644531491025153,0.34826665763978804,115.3503215964003,81.0,0.050968758931850704,0.00857632081109544,34.66496942643683,0.000999000999000999,0.3248704748036936,0.003807707565962643,6.144427435876255,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,2,weighted,5,8,0.9720125090888758,0.98591398943337,0.257369433520169,241.2582509473795,308.0,0.07103265727017026,0.014800929326081477,12.589532193876849,0.000999000999000999,0.17059942183937238,0.003925662290329617,22.103279717805528,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,3,weighted,6,1,0.9687069716505715,0.8804870021592698,0.22626001267472803,175.49809165646823,158.0,0.06147178740078821,0.010649938532960168,15.473162099850793,0.000999000999000999,0.16267644197762549,0.004202428029175311,15.130198603206123,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,4,weighted,3,0,0.9576311292111316,0.9354340737281438,0.21814586145834233,169.16557195484825,195.0,0.060341649883105586,0.010996990441986055,14.349763456440481,0.000999000999000999,0.10007533445919713,0.005015317302081248,23.54198545925469,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,5,weighted,4,6,0.9400093294794631,0.6606578385125875,0.18043875547308066,196.53222564905937,124.0,0.06392646109820543,0.012251160620856365,9.510306654254848,0.000999000999000999,0.1263192960147382,0.0034520784282292853,15.677355130689362,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,6,weighted,2,2,0.9031873229464558,0.7619334315505135,0.16055052218666402,182.9025955098893,177.0,0.061940194666634606,0.011239303878700431,8.773704188824855,0.000999000999000999,0.06297067633739245,0.004286352108719463,22.765242652550842,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,7,weighted,0,4,0.8433324648658611,0.8566159540677185,0.15616883807854684,190.7737085370627,185.0,0.06292736044066229,0.012224875501137884,7.627192410197199,0.000999000999000999,0.09512861037060853,0.004016899051281578,15.19585803095142,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,8,weighted,7,5,0.8387489739201782,0.6918711511697813,0.17670605498335074,199.16636892239896,224.0,0.06372698936260994,0.011775924638242728,9.594071726124785,0.000999000999000999,0.09219021167844081,0.004147620111458421,20.376948957167574,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,9,weighted,8,3,-0.29221973631170484,0.7318224185399974,0.05674993246877585,153.3528652264934,172.0,0.05599140477447347,0.009577129229933192,0.079201990084002,0.5034965034965035,0.07409858350533734,0.0067423221918726205,-2.5730973013235747,0.962037962037962
cnmf_vs_hierarchical_concat_hg,A algorithms,1,hard,1,7,0.9715052198209045,0.9644531491025153,0.9,90.0,81.0,0.04724476729393375,0.013104384879924423,65.07403747065344,0.000999000999000999,0.8099587627943065,0.0128325980504461,7.016602316361298,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,2,hard,3,5,0.9406045026366472,0.9323978026315958,0.6578947368421053,181.0,197.0,0.06440161162941158,0.02033060910724249,29.19209759442329,0.000999000999000999,0.20528441980224102,0.016430061280638193,27.547695003014837,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,3,hard,4,3,0.9189002968588456,0.5855568983358664,0.30303030303030304,165.0,50.0,0.06019228336322822,0.019523283949428046,12.438379746773546,0.000999000999000999,0.30303030303030304,0.0,,1.0
cnmf_vs_hierarchical_concat_hg,A algorithms,4,hard,6,1,0.9059534263018207,0.8747582674547685,0.40892193308550184,135.0,244.0,0.055966424396203196,0.016597422933355418,21.26568143178258,0.000999000999000999,0.283526929753197,0.011555142113683114,10.851878938279553,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,5,hard,5,8,0.8664601033378093,0.9518681300487195,0.4839924670433145,383.0,405.0,0.08486299868137473,0.0348424964027853,11.455248893418368,0.000999000999000999,0.2851956235401655,0.01181994786559999,16.818758065906067,0.000999000999000999
