,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,63.0,48.0,8.0,25.0,6.0,11.0,4.0,20.0,0.0
s1_c1,32.0,9.0,13.0,65.0,5.0,8.0,12.0,6.0,15.0
s1_c2,9.0,7.0,32.0,8.0,10.0,11.0,10.0,12.0,41.0
s1_c3,8.0,14.0,6.0,10.0,9.0,79.0,3.0,3.0,16.0
s1_c4,1.0,11.0,1.0,12.0,64.0,18.0,53.0,2.0,18.0
s1_c5,4.0,3.0,19.0,17.0,6.0,0.0,25.0,105.0,10.0
s1_c6,3.0,52.0,4.0,29.0,52.0,10.0,185.0,21.0,1.0
s1_c7,4.0,7.0,142.0,7.0,22.0,9.0,3.0,11.0,1.0
s1_c8,5.0,3.0,8.0,13.0,71.0,0.0,6.0,2.0,2.0
