cluster,reference_cluster,jaccard,block_position
0,6,0.2302,4
1,5,0.5785,7
2,2,0.4617,3
3,0,0.4361,6
4,3,0.7695,2
5,4,0.4006,1
6,1,0.5198,0
7,7,0.5793,5
