cluster,reference_cluster,jaccard,block_position
0,1,0.2441,5
1,3,0.4491,3
2,2,0.4231,0
3,4,0.3861,1
4,6,0.5455,2
5,0,0.3041,6
6,5,0.0124,4
7,7,0.0281,7
