,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,3.0,7.0,0.0,101.0,49.0,0.0,5.0,1.0,2.0,17.0
s1_c1,3.0,169.0,29.0,3.0,25.0,0.0,0.0,37.0,0.0,6.0
s1_c2,118.0,0.0,17.0,2.0,1.0,0.0,4.0,7.0,0.0,18.0
s1_c3,2.0,2.0,0.0,0.0,33.0,0.0,6.0,55.0,5.0,6.0
s1_c4,1.0,7.0,1.0,0.0,105.0,0.0,13.0,25.0,0.0,4.0
s1_c5,8.0,2.0,22.0,0.0,11.0,1.0,0.0,62.0,0.0,40.0
s1_c6,7.0,0.0,6.0,1.0,26.0,44.0,54.0,25.0,2.0,2.0
s1_c7,38.0,33.0,11.0,1.0,26.0,0.0,36.0,3.0,0.0,42.0
s1_c8,0.0,33.0,115.0,5.0,5.0,0.0,7.0,7.0,0.0,0.0
s1_c9,0.0,15.0,17.0,1.0,12.0,0.0,1.0,0.0,64.0,6.0
