,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,8.0,0.0,6.0,1.0,23.0,146.0,23.0
s1_c1,2.0,2.0,319.0,16.0,81.0,0.0,23.0
s1_c2,28.0,11.0,15.0,2.0,70.0,5.0,5.0
s1_c3,4.0,1.0,12.0,173.0,6.0,1.0,22.0
s1_c4,184.0,6.0,0.0,19.0,8.0,3.0,0.0
s1_c5,0.0,53.0,7.0,8.0,0.0,11.0,134.0
s1_c6,27.0,130.0,11.0,6.0,40.0,8.0,20.0
