cluster,reference_cluster,jaccard,block_position
0,3,0.2677,3
1,0,0.0044,6
2,6,0.498,2
3,4,0.2851,1
4,1,0.352,5
5,7,0.5787,7
6,2,0.2383,0
7,5,0.1754,4
