k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.25435540069686413
6,6,0,0.0,0.0,0.23365572010713803
7,7,0,0.0,0.0,0.25572519083969464
8,8,1,0.125,0.07916666666666666,0.30754442925495556
9,9,2,0.2222222222222222,0.15357142857142858,0.3853820598006645
10,10,3,0.3,0.2244047619047619,0.40437193093616347
11,11,4,0.36363636363636365,0.27440476190476193,0.4194915254237288
12,12,5,0.4166666666666667,0.3148809523809524,0.46038641472750474
13,13,8,0.6153846153846154,0.5511904761904762,0.5714285714285714
14,14,8,0.5714285714285714,0.5291666666666667,0.5521196283391405
15,15,10,0.6666666666666666,0.6005952380952381,0.6272727272727273
16,16,9,0.5625,0.5226190476190476,0.6103861752777288
17,17,11,0.6470588235294118,0.6041666666666666,0.6140350877192983
18,18,10,0.5555555555555556,0.5488095238095239,0.6118972746331237
