cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,248,20,72,0.2903225806451613,22,26.26,0.10144153225806452
1,321,21,91,0.2834890965732087,26,26.545,0.09938473520249219
2,159,20,47,0.29559748427672955,17,25.475,0.10643081761006287
3,236,18,58,0.2457627118644068,18,26.21,0.10184322033898305
4,216,17,57,0.2638888888888889,10,26.01,0.10336805555555556
5,203,19,71,0.3497536945812808,8,26.035,0.10470443349753694
6,126,9,92,0.7301587301587301,23,24.75,0.11037698412698413
7,210,20,30,0.14285714285714285,26,25.96,0.10477380952380953
