cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,211,14,48,0.22748815165876776,18,26.0525,0.10172985781990519
1,260,20,50,0.19230769230769232,22,26.29,0.10057692307692308
2,53,4,47,0.8867924528301887,17,20.44,0.12995283018867923
3,288,23,79,0.2743055555555556,25,26.465,0.09905381944444444
4,307,21,84,0.2736156351791531,8,26.5525,0.10001628664495117
5,293,14,83,0.2832764505119454,26,26.4675,0.10056313993174061
6,98,3,96,0.9795918367346939,23,23.895,0.11441326530612245
7,209,15,52,0.24880382775119617,22,26.01,0.1042464114832536
