method,feature,k_a,k_b,diagonal_share,null_mean,chance_corrected
kmeans,concat_bands5z,8,10,0.6880952380952381,0.14514285714285713,0.6351381461675579
kmeans,concat_bands5z,9,10,0.7511904761904762,0.14364285714285713,0.7094558901215002
hierarchical,concat_hg,6,7,0.8702380952380953,0.19311309523809522,0.8391820415028365
hierarchical,concat_hg,6,8,0.7428571428571429,0.1653869047619048,0.691901722354955
hierarchical,concat_hg,6,9,0.7160714285714286,0.1645535714285714,0.660147483167682
hierarchical,concat_hg,6,10,0.7160714285714286,0.16041071428571432,0.6618244464768063
hierarchical,concat_hg,7,8,0.8726190476190476,0.16223214285714288,0.8479519698745959
hierarchical,concat_hg,7,9,0.8458333333333333,0.15999404761904765,0.8164695544957873
hierarchical,concat_hg,7,10,0.8458333333333333,0.15458333333333335,0.8176441596845736
hierarchical,concat_hg,8,9,0.9732142857142857,0.15379761904761904,0.9683459714973058
hierarchical,concat_hg,8,10,0.9297619047619048,0.14752976190476189,0.9176063959780749
hierarchical,concat_hg,9,10,0.9565476190476191,0.14600595238095238,0.9491186372158834
hierarchical,concat_rawds,6,7,0.9714285714285714,0.2141785714285714,0.9636413216379585
hierarchical,concat_rawds,6,8,0.9226190476190477,0.20498214285714284,0.902667654964324
hierarchical,concat_rawds,6,9,0.7910714285714285,0.17004166666666667,0.7482661923647916
hierarchical,concat_rawds,6,10,0.7238095238095238,0.16136309523809525,0.6706673953623723
hierarchical,concat_rawds,7,8,0.9511904761904761,0.20402976190476188,0.9386792100087493
hierarchical,concat_rawds,7,9,0.8196428571428571,0.16817857142857146,0.7831780516079172
hierarchical,concat_rawds,7,10,0.7523809523809524,0.1594345238095238,0.7054137308359594
hierarchical,concat_rawds,8,9,0.868452380952381,0.16558928571428574,0.8423466803632447
hierarchical,concat_rawds,8,10,0.8011904761904762,0.15880952380952382,0.7636569487687518
hierarchical,concat_rawds,9,10,0.9327380952380953,0.14853571428571424,0.92100443214071
hierarchical,concat_bands5z,6,7,0.9035714285714286,0.1856547619047619,0.8815876032453768
hierarchical,concat_bands5z,6,8,0.8357142857142857,0.17149404761904766,0.8017084683416075
hierarchical,concat_bands5z,6,9,0.8077380952380953,0.16986904761904764,0.7683956920164633
hierarchical,concat_bands5z,6,10,0.7583333333333333,0.16079761904761902,0.7120281446384747
hierarchical,concat_bands5z,7,8,0.9321428571428572,0.16432738095238097,0.9187993703389771
hierarchical,concat_bands5z,7,9,0.9041666666666667,0.1631309523809524,0.8854858671067044
hierarchical,concat_bands5z,7,10,0.8547619047619047,0.1552083333333333,0.8280782103223533
hierarchical,concat_bands5z,8,9,0.9720238095238095,0.15632738095238097,0.9668399923802535
hierarchical,concat_bands5z,8,10,0.9226190476190477,0.1490535714285714,0.9090648367713821
hierarchical,concat_bands5z,9,10,0.950595238095238,0.14835119047619047,0.9419892785003878
cnmf,concat_hg,6,7,0.7571428571428571,0.18317261904761906,0.7026824167255714
cnmf,concat_hg,6,8,0.6916666666666667,0.17017857142857148,0.6284341151997704
cnmf,concat_hg,6,9,0.6160714285714286,0.15469047619047618,0.5458130298847985
cnmf,concat_hg,6,10,0.4976190476190476,0.13873214285714283,0.41669603920023773
cnmf,concat_hg,7,8,0.675,0.16780952380952385,0.609464408331426
cnmf,concat_hg,7,9,0.6154761904761905,0.15410119047619047,0.545425758737888
cnmf,concat_hg,7,10,0.5666666666666667,0.13813690476190474,0.49721326307210983
cnmf,concat_hg,8,9,0.7904761904761904,0.15263095238095237,0.7527360597929165
cnmf,concat_hg,8,10,0.6214285714285714,0.13881547619047616,0.5604061404903269
cnmf,concat_hg,9,10,0.7041666666666667,0.13635714285714284,0.6574587158492543
cnmf,concat_rawds,6,7,0.8648809523809524,0.1876011904761905,0.8336789197189394
cnmf,concat_rawds,6,8,0.6303571428571428,0.16532738095238098,0.5571403102157247
cnmf,concat_rawds,6,9,0.5636904761904762,0.14983928571428573,0.48679171305145386
cnmf,concat_rawds,6,10,0.5089285714285714,0.14013690476190474,0.42889579598081085
cnmf,concat_rawds,7,8,0.7148809523809524,0.16361904761904764,0.6591038487815988
cnmf,concat_rawds,7,9,0.6392857142857142,0.14985119047619044,0.5757045335200419
cnmf,concat_rawds,7,10,0.5863095238095238,0.13967261904761902,0.5191476113052202
cnmf,concat_rawds,8,9,0.7886904761904762,0.1466190476190476,0.7523854695608505
cnmf,concat_rawds,8,10,0.7035714285714286,0.13751785714285714,0.6563075840079505
cnmf,concat_rawds,9,10,0.7976190476190477,0.13611309523809523,0.7657321215712485
cnmf,concat_bands5z,6,7,0.7547619047619047,0.17985714285714283,0.7009812460082447
cnmf,concat_bands5z,6,8,0.6547619047619048,0.1699047619047619,0.5840982101881598
cnmf,concat_bands5z,6,9,0.5053571428571428,0.1532142857142857,0.415858287642345
cnmf,concat_bands5z,6,10,0.5654761904761905,0.14612499999999995,0.4911154331444187
cnmf,concat_bands5z,7,8,0.675,0.1643869047619048,0.6110640177229437
cnmf,concat_bands5z,7,9,0.5482142857142858,0.15215476190476188,0.46713657872197034
cnmf,concat_bands5z,7,10,0.6476190476190476,0.14369642857142853,0.588485948046351
cnmf,concat_bands5z,8,9,0.7,0.14913690476190472,0.6474168386442338
cnmf,concat_bands5z,8,10,0.6779761904761905,0.1424523809523809,0.6244828830829886
cnmf,concat_bands5z,9,10,0.7636904761904761,0.138625,0.725660108768511
