method,feature,k_a,k_b,diagonal_share,null_mean,chance_corrected
kmeans,concat_hg,6,7,0.8238095238095238,0.17543452380952387,0.7863232438441603
kmeans,concat_hg,6,8,0.7625,0.16654166666666664,0.7150427435884616
kmeans,concat_hg,6,9,0.6666666666666666,0.15861904761904763,0.6038259097855
kmeans,concat_hg,6,10,0.6154761904761905,0.1488392857142857,0.5482359523060247
kmeans,concat_hg,7,8,0.8809523809523809,0.1635,0.8576836592377537
kmeans,concat_hg,7,9,0.7375,0.1549047619047619,0.6893841212599313
kmeans,concat_hg,7,10,0.694047619047619,0.14652976190476186,0.6415195664758025
kmeans,concat_hg,8,9,0.7065476190476191,0.15138690476190478,0.6541976754788977
kmeans,concat_hg,8,10,0.7648809523809523,0.14370833333333327,0.7254217730106981
kmeans,concat_hg,9,10,0.8988095238095238,0.1414821428571428,0.8821335219196983
kmeans,concat_rawds,6,7,0.8809523809523809,0.18430952380952384,0.8540529495898888
kmeans,concat_rawds,6,8,0.6761904761904762,0.16037500000000005,0.6143403021473589
kmeans,concat_rawds,6,9,0.6214285714285714,0.14844642857142853,0.5554343951181664
kmeans,concat_rawds,6,10,0.5916666666666667,0.14422023809523807,0.522852313748948
kmeans,concat_rawds,7,8,0.7690476190476191,0.15998214285714288,0.7250625341014576
kmeans,concat_rawds,7,9,0.6755952380952381,0.1483690476190476,0.6190782392328447
kmeans,concat_rawds,7,10,0.6797619047619048,0.14421428571428568,0.6257963998553265
kmeans,concat_rawds,8,9,0.8547619047619047,0.14444047619047617,0.8302419747589297
kmeans,concat_rawds,8,10,0.7595238095238095,0.14379166666666665,0.7191382270948187
kmeans,concat_rawds,9,10,0.7726190476190476,0.13923809523809522,0.7358375746846647
kmeans,concat_bands5z,6,7,0.8321428571428572,0.17638095238095242,0.7961956521739131
kmeans,concat_bands5z,6,8,0.7148809523809524,0.16942857142857143,0.6567194129113635
kmeans,concat_bands5z,6,9,0.7148809523809524,0.16080357142857146,0.6602475440649714
kmeans,concat_bands5z,6,10,0.5708333333333333,0.15012499999999998,0.4950237780065696
kmeans,concat_bands5z,7,8,0.7660714285714286,0.16480952380952385,0.719909915046468
kmeans,concat_bands5z,7,9,0.8261904761904761,0.1574107142857143,0.7937197555720391
kmeans,concat_bands5z,7,10,0.6625,0.1470535714285714,0.6043127813252382
kmeans,concat_bands5z,8,9,0.7529761904761905,0.15436309523809524,0.7078843081081462
