cluster,reference_cluster,jaccard,block_position
0,5,0.62,6
1,2,0.5559,3
2,6,0.5194,7
3,7,0.5737,0
4,0,0.0157,5
5,1,0.3657,4
6,3,0.7224,2
7,4,0.406,1
