,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5
s1_c0,36.0,0.0,4.0,7.0,81.0,89.0
s1_c1,13.0,15.0,116.0,0.0,0.0,26.0
s1_c2,2.0,3.0,14.0,141.0,0.0,238.0
s1_c3,247.0,1.0,5.0,7.0,0.0,0.0
s1_c4,13.0,209.0,37.0,27.0,0.0,42.0
s1_c5,51.0,3.0,31.0,156.0,0.0,10.0
