,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,3.0,13.0,8.0,32.0,173.0,0.0,20.0
s1_c1,6.0,3.0,6.0,2.0,1.0,81.0,10.0
s1_c2,7.0,1.0,8.0,16.0,111.0,0.0,272.0
s1_c3,13.0,199.0,0.0,16.0,8.0,0.0,8.0
s1_c4,9.0,3.0,157.0,45.0,10.0,0.0,43.0
s1_c5,73.0,20.0,28.0,8.0,32.0,0.0,24.0
s1_c6,7.0,5.0,24.0,88.0,3.0,0.0,28.0
