cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,385,24,67,0.17402597402597403,0,26.7,0.09882467532467533
1,65,3,40,0.6153846153846154,1,22.0125,0.12450000000000003
2,129,5,45,0.3488372093023256,18,24.9775,0.11042635658914728
3,85,6,49,0.5764705882352941,25,23.44,0.11564705882352941
4,74,4,61,0.8243243243243243,8,22.6525,0.11983108108108109
5,147,5,134,0.9115646258503401,22,25.28,0.10906462585034013
6,179,7,111,0.6201117318435754,26,25.7875,0.10646648044692737
7,629,27,75,0.1192368839427663,25,26.94,0.09667329093799681
