cluster,n,n_lana,coverage,mean_P,median_P,rho,null_mean_P,p_mean,null_rho,p_rho,q_mean,q_rho,null_mean_P_sh,p_mean_sh,null_rho_sh,p_rho_sh,q_mean_sh,q_rho_sh,mean_P_lo,mean_P_hi,rho_lo,rho_hi,baseline_P
7,131,131,1.0,0.2024321395846951,0.1116625294089317,0.12968654190554027,0.1405115071591952,0.000999000999000999,0.013955367912449855,0.000999000999000999,0.007992007992007992,0.003996003996003996,0.2047309864395516,0.6453546453546454,0.1137503432583095,0.08691308691308691,0.983016983016983,0.29836829836829837,0.1505626500511893,0.38056837326722165,0.06666703442943687,0.19783797421076468,0.1347117387451808
1,345,345,1.0,0.15178552189086006,0.1004962772130966,0.054730408502742696,0.15575823371309014,0.7582417582417582,0.04361362062006401,0.23876123876123875,0.998001998001998,0.31834831834831834,0.15105217424132517,0.3876123876123876,0.047908242123206615,0.23376623376623376,0.7752247752247752,0.37402597402597404,0.12416254560935717,0.1831454939450583,-0.015876641948022213,0.13061112446124842,0.1347117387451808
3,250,250,1.0,0.13873449101299046,0.08995037153363225,-0.030342338485074345,0.1321221785656978,0.08691308691308691,-0.004694479933480415,0.06693306693306693,0.34765234765234765,0.13386613386613386,0.1341473247359785,0.06593406593406594,-0.02209073541190491,0.2017982017982018,0.31435231435231437,0.37402597402597404,0.11714170435536338,0.16221436042657908,-0.0908861370901709,0.0259792450364287,0.1347117387451808
2,254,254,1.0,0.1305367227086401,0.0856079384684562,-0.029327736014452585,0.12720167649095138,0.2977022977022977,-0.004038986397291788,0.14985014985014986,0.793872793872794,0.23976023976023977,0.12445599436238561,0.09490509490509491,-0.037646370605872045,0.7492507492507493,0.31435231435231437,0.856286570572285,0.10152463784708037,0.15778203895508822,-0.11137407249258377,0.03997612891093456,0.1347117387451808
6,152,152,1.0,0.1233430195042226,0.0831265524029731,0.011654740184358137,0.1253888599420713,0.5854145854145855,-0.008834562391603592,0.6073926073926074,0.998001998001998,0.6941629798772656,0.13496216696983596,0.983016983016983,0.03751916527922752,0.983016983016983,0.983016983016983,0.983016983016983,0.091378766713678,0.18721955876653118,-0.052506202513326314,0.07921890082004611,0.1347117387451808
0,166,166,1.0,0.12075846822348879,0.08250620588660235,-0.051773647163214725,0.13597900520199457,0.9790209790209791,-0.007824445982997766,0.015984015984015984,0.998001998001998,0.042624042624042624,0.1272605383814684,0.929070929070929,-0.028053665691579747,0.022977022977022976,0.983016983016983,0.1838161838161838,0.09014964221756656,0.1564828336384274,-0.11975182526901193,0.018001108665902158,0.1347117387451808
4,223,223,1.0,0.11038289085498303,0.0831265524029731,-0.010161633033026429,0.1286641721786271,0.998001998001998,-0.032008147670553995,0.8821178821178821,0.998001998001998,0.8821178821178821,0.11276290522213823,0.8041958041958042,-0.009453753108557507,0.5514485514485514,0.983016983016983,0.7352647352647352,0.09259030226142477,0.12271589616972008,-0.08957887206285446,0.052922297034914696,0.1347117387451808
5,198,198,1.0,0.10826001966353314,0.0843672454357147,-0.10922549730837045,0.12001201208792582,0.967032967032967,-0.01878298738586478,0.000999000999000999,0.998001998001998,0.003996003996003996,0.10455777373136912,0.11788211788211789,-0.09347094884558149,0.11188811188811189,0.31435231435231437,0.29836829836829837,0.09747752762531933,0.16549830729670506,-0.18238301638651902,-0.041054541912674346,0.1347117387451808
