,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,0.0,37.0,48.0,74.0,7.0,22.0,19.0
s1_c1,16.0,164.0,54.0,30.0,2.0,141.0,36.0
s1_c2,5.0,63.0,8.0,12.0,21.0,11.0,16.0
s1_c3,96.0,49.0,13.0,11.0,13.0,31.0,6.0
s1_c4,3.0,45.0,10.0,14.0,135.0,12.0,1.0
s1_c5,6.0,57.0,52.0,30.0,5.0,42.0,21.0
s1_c6,10.0,47.0,34.0,27.0,41.0,9.0,74.0
