cluster,reference_cluster,jaccard,block_position
0,2,0.3817,0
1,1,0.0213,5
2,7,0.0,7
3,0,0.0,6
4,6,0.573,2
5,5,0.0549,4
6,4,0.1657,1
7,3,0.1773,3
