,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8
s1_c0,11.0,12.0,3.0,46.0,29.0,3.0,6.0,24.0,51.0
s1_c1,16.0,15.0,2.0,7.0,23.0,8.0,4.0,63.0,27.0
s1_c2,16.0,34.0,6.0,13.0,13.0,27.0,2.0,5.0,24.0
s1_c3,36.0,7.0,2.0,16.0,48.0,3.0,0.0,14.0,22.0
s1_c4,21.0,18.0,90.0,12.0,10.0,1.0,4.0,15.0,9.0
s1_c5,1.0,27.0,13.0,5.0,8.0,10.0,93.0,6.0,26.0
s1_c6,33.0,57.0,148.0,43.0,3.0,2.0,9.0,37.0,25.0
s1_c7,23.0,9.0,4.0,7.0,3.0,134.0,2.0,2.0,22.0
s1_c8,9.0,7.0,34.0,13.0,7.0,13.0,2.0,10.0,15.0
