,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,3.0,0.0,6.0,7.0,100.0,0.0,270.0
s1_c1,13.0,206.0,0.0,5.0,2.0,0.0,0.0
s1_c2,81.0,28.0,5.0,15.0,59.0,0.0,41.0
s1_c3,1.0,0.0,0.0,0.0,0.0,81.0,6.0
s1_c4,6.0,4.0,27.0,111.0,0.0,0.0,42.0
s1_c5,2.0,5.0,2.0,29.0,159.0,0.0,13.0
s1_c6,12.0,1.0,191.0,40.0,18.0,0.0,33.0
