k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.26141078838174275
6,6,1,0.16666666666666666,0.10936591041303083,0.2577842637170797
7,7,1,0.14285714285714285,0.09947643979057591,0.33858267716535434
8,8,2,0.25,0.16870273414776032,0.28545190274841437
9,9,2,0.2222222222222222,0.16986620127981383,0.2882882882882883
10,10,3,0.3,0.2356020942408377,0.3837797422703083
11,11,4,0.36363636363636365,0.266433973240256,0.36645962732919257
12,12,5,0.4166666666666667,0.3263525305410122,0.3664430152742564
13,13,5,0.38461538461538464,0.3426410703897615,0.363013698630137
14,14,5,0.35714285714285715,0.28853984874927285,0.39666136724960255
15,15,7,0.4666666666666667,0.42292030250145435,0.5
16,16,8,0.5,0.43920884235020363,0.4968083563034963
17,17,6,0.35294117647058826,0.32344386271087844,0.42424242424242425
18,18,9,0.5,0.4607329842931937,0.5263157894736843
19,19,11,0.5789473684210527,0.537521815008726,0.6239316239316239
20,20,10,0.5,0.49912739965095987,0.5183562786816854
21,21,14,0.6666666666666666,0.6445607911576497,0.7014925373134329
22,22,14,0.6363636363636364,0.6509598603839442,0.5993663594470047
23,23,16,0.6956521739130435,0.716695753344968,0.6632653061224489
24,24,16,0.6666666666666666,0.7068062827225131,0.6961538461538461
25,25,17,0.68,0.6701570680628273,0.7954545454545454
26,26,19,0.7307692307692307,0.745782431646306,0.7422222222222222
27,27,18,0.6666666666666666,0.7085514834205934,0.7032967032967034
28,28,21,0.75,0.7731239092495636,0.8138815207780725
29,29,20,0.6896551724137931,0.7044793484584061,0.7738095238095238
30,30,23,0.7666666666666667,0.7678883071553229,0.7973828258638385
