cluster,reference_cluster,jaccard,block_position
0,6,0.5162,2
1,1,0.0,5
2,2,0.3285,0
3,3,0.3879,3
4,5,0.1636,4
5,4,0.3428,1
6,0,0.221,6
7,7,0.3923,7
