,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,4.0,12.0,62.0,38.0,34.0,52.0,25.0,5.0
s1_c1,10.0,14.0,26.0,4.0,31.0,52.0,10.0,195.0
s1_c2,7.0,6.0,32.0,138.0,13.0,11.0,15.0,2.0
s1_c3,8.0,26.0,38.0,13.0,57.0,18.0,21.0,14.0
s1_c4,10.0,109.0,22.0,17.0,11.0,8.0,3.0,18.0
s1_c5,15.0,2.0,24.0,5.0,17.0,14.0,34.0,82.0
s1_c6,5.0,0.0,30.0,2.0,33.0,18.0,75.0,4.0
s1_c7,67.0,3.0,17.0,36.0,4.0,1.0,2.0,7.0
