,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,7.0,6.0,18.0,14.0,12.0,1.0,26.0,3.0,96.0,2.0
s1_c1,2.0,28.0,32.0,5.0,80.0,44.0,21.0,1.0,5.0,54.0
s1_c2,99.0,2.0,2.0,7.0,2.0,6.0,23.0,0.0,2.0,24.0
s1_c3,2.0,3.0,8.0,14.0,0.0,21.0,37.0,16.0,3.0,5.0
s1_c4,12.0,13.0,7.0,12.0,0.0,67.0,23.0,4.0,2.0,16.0
s1_c5,31.0,60.0,0.0,8.0,3.0,10.0,16.0,5.0,2.0,11.0
s1_c6,3.0,10.0,2.0,23.0,11.0,8.0,25.0,60.0,2.0,23.0
s1_c7,35.0,9.0,51.0,38.0,3.0,8.0,21.0,2.0,6.0,17.0
s1_c8,2.0,7.0,13.0,14.0,104.0,9.0,3.0,9.0,1.0,10.0
s1_c9,11.0,11.0,9.0,3.0,48.0,10.0,6.0,6.0,6.0,6.0
