,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,11.0,16.0,11.0,45.0,96.0,1.0,27.0
s1_c1,17.0,2.0,283.0,67.0,21.0,23.0,30.0
s1_c2,5.0,34.0,51.0,12.0,14.0,4.0,16.0
s1_c3,8.0,19.0,32.0,12.0,5.0,109.0,34.0
s1_c4,6.0,142.0,6.0,20.0,4.0,4.0,38.0
s1_c5,74.0,11.0,13.0,50.0,16.0,13.0,36.0
s1_c6,32.0,38.0,7.0,44.0,64.0,15.0,42.0
