cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,195,16,84,0.4307692307692308,26,25.9675,0.10492307692307694
1,213,12,60,0.28169014084507044,1,26.045,0.1041549295774648
2,189,18,40,0.21164021164021163,18,25.9575,0.10723544973544973
3,181,18,76,0.4198895027624309,8,25.7525,0.10645027624309393
4,153,18,49,0.3202614379084967,25,25.425,0.10921568627450981
5,88,10,70,0.7954545454545454,23,23.545,0.11815340909090909
6,101,15,42,0.4158415841584158,17,24.11,0.11554455445544556
7,156,17,56,0.358974358974359,10,25.51,0.10873397435897436
8,162,16,89,0.5493827160493827,22,25.5825,0.10637345679012344
9,139,16,50,0.3597122302158273,11,25.135,0.11007194244604318
10,116,19,18,0.15517241379310345,3,24.625,0.11168103448275861
