k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.2903225806451613
6,6,0,0.0,0.0,0.3136695776153984
7,7,1,0.14285714285714285,0.027761370348493797,0.3370165745856354
8,8,2,0.25,0.18665091553455404,0.3413024049398765
9,9,3,0.3333333333333333,0.18665091553455404,0.34558823529411764
10,10,4,0.4,0.2108682811577082,0.4483177881412391
11,11,4,0.36363636363636365,0.2108682811577082,0.4230769230769231
12,12,5,0.4166666666666667,0.24867099822799762,0.46104363472784526
13,13,6,0.46153846153846156,0.28470171293561725,0.49473684210526314
14,14,7,0.5,0.28470171293561725,0.5398212512413108
15,15,8,0.5333333333333333,0.28470171293561725,0.8588957055214724
16,16,9,0.5625,0.32309509746012993,0.6909863142991978
17,17,11,0.6470588235294118,0.37920850561134084,0.9215686274509803
18,18,12,0.6666666666666666,0.4134672179562906,0.8902321664862264
19,19,13,0.6842105263157895,0.4193738924985233,0.9215686274509803
20,20,14,0.7,0.4193738924985233,0.926693404634581
21,21,15,0.7142857142857143,0.44713526284701716,0.9318181818181818
22,22,16,0.7272727272727273,0.44713526284701716,0.9333887657058388
23,23,17,0.7391304347826086,0.4678086237448317,0.9349593495934959
24,24,18,0.75,0.5067926757235677,0.9333887657058388
25,25,18,0.72,0.5067926757235677,0.9318181818181818
26,26,19,0.7307692307692307,0.5333727111636148,0.9333887657058388
27,27,20,0.7407407407407407,0.5333727111636148,0.9349593495934959
28,28,21,0.75,0.5451860602480804,0.9333887657058388
29,29,22,0.7586206896551724,0.5451860602480804,0.9349593495934959
30,30,23,0.7666666666666667,0.5652687536916716,0.943089430894309
