,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,7.0,0.0,82.0,33.0,22.0,54.0,7.0,27.0
s1_c1,0.0,0.0,3.0,9.0,26.0,32.0,6.0,266.0
s1_c2,157.0,0.0,7.0,1.0,3.0,49.0,0.0,7.0
s1_c3,0.0,0.0,43.0,86.0,3.0,12.0,4.0,47.0
s1_c4,1.0,0.0,3.0,2.0,0.0,10.0,157.0,25.0
s1_c5,0.0,0.0,1.0,7.0,119.0,12.0,7.0,47.0
s1_c6,8.0,47.0,11.0,79.0,5.0,4.0,0.0,13.0
s1_c7,27.0,0.0,1.0,1.0,24.0,59.0,8.0,17.0
