cluster,reference_cluster,jaccard,block_position
0,2,0.5231,3
1,4,0.4985,1
2,0,0.5253,6
3,6,0.2115,4
4,7,0.6115,5
5,3,0.8209,2
6,5,0.634,7
7,1,0.5371,0
