cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,231,22,44,0.19047619047619047,25,26.1625,0.100487012987013
1,229,20,63,0.27510917030567683,8,26.0875,0.10184497816593886
2,188,22,34,0.18085106382978725,22,25.8225,0.10420212765957448
3,194,19,40,0.20618556701030927,22,25.8475,0.10452319587628865
4,252,19,50,0.1984126984126984,18,26.3325,0.10186507936507937
5,361,20,93,0.25761772853185594,26,26.6175,0.09840027700831025
6,173,20,47,0.27167630057803466,17,25.6125,0.10570809248554912
7,91,3,89,0.978021978021978,23,23.4,0.11593406593406592
