cluster_1,cluster_2,r_centred,r_plain,matched
0,0,0.5495355447981395,0.8432167815387854,False
0,1,-0.1299590248859461,0.7675101600329555,False
0,2,0.8921658066973013,0.9446568256616561,True
0,3,-0.6885735968911305,0.3223015415259223,False
0,4,-0.20969812918422676,0.6214652574921198,False
0,5,-0.3594752309040281,0.45150117272492307,False
1,0,0.00900721426216838,0.6827325866904556,False
1,1,-0.12130822047775573,0.8017783016212864,False
1,2,0.096775224285153,0.6532883214864176,False
1,3,0.12358082904929091,0.656725497307566,False
1,4,0.6154260590188377,0.8849980776581163,True
1,5,-0.6541657726669754,0.38402145716709957,False
2,0,0.04945984127726196,0.7779838459071154,True
2,1,0.45596099311045757,0.9160530675085594,False
2,2,0.13403526998227283,0.7263403399034206,False
2,3,-0.27484063445247764,0.6110157366755907,False
2,4,-0.47421381855353895,0.6946583810265633,False
2,5,0.02311525456638534,0.7221148644850032,False
3,0,-0.2877243412480675,0.7276640916802071,False
3,1,0.8491399063651435,0.9680893184082252,True
3,2,-0.4545303356745818,0.5883487552246043,False
3,3,0.13510634842852368,0.7398451666394721,False
3,4,-0.10245269678598873,0.7925406610785135,False
3,5,-0.2510025489538362,0.6898120945402689,False
4,0,-0.2064217722657264,0.5473040047107802,False
4,1,-0.3668785552107493,0.7298620209861479,False
4,2,-0.5002346532075516,0.3575615850975471,False
4,3,0.38104303703277087,0.7409007687335585,False
4,4,-0.20324867388458445,0.5921059758667212,False
4,5,0.8829385919557148,0.9385087379177462,True
5,0,-0.1419136741413251,0.615193720324344,False
5,1,-0.7163134809929015,0.7182151428600914,False
5,2,-0.18184230193893922,0.5402425078420934,False
5,3,0.35274582869783,0.7521340726727315,True
5,4,0.4028747088276524,0.8370792660700617,False
5,5,0.372678705859715,0.7258371557220035,False
