,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6
s1_c0,20.0,57.0,65.0,4.0,37.0,58.0,8.0
s1_c1,1.0,6.0,11.0,83.0,0.0,3.0,5.0
s1_c2,18.0,48.0,60.0,33.0,5.0,234.0,17.0
s1_c3,2.0,36.0,7.0,7.0,170.0,6.0,16.0
s1_c4,105.0,46.0,67.0,4.0,9.0,16.0,20.0
s1_c5,24.0,39.0,37.0,5.0,67.0,9.0,4.0
s1_c6,18.0,15.0,25.0,2.0,8.0,2.0,85.0
