cluster_1,cluster_2,r_centred,r_plain,matched
0,0,-0.008996457016938776,0.7975379466114043,False
0,1,0.5926397316593703,0.7999131538416996,False
0,2,-0.2642897041603502,0.4342171498529409,False
0,3,-0.07903342336240335,0.6080824319145952,False
0,4,0.4766719799334447,0.8257420440904844,True
0,5,0.27245931692007885,0.8393844269877584,False
0,6,-0.4330702976902131,0.3904718730079828,False
0,7,-0.535144813189933,0.5591149756215121,False
0,8,-0.006339317394601756,0.6118108950488815,False
1,0,0.10368946132659695,0.7326338865222318,False
1,1,-0.34386459780558565,0.384574351276114,False
1,2,-0.20228542122619886,0.49259689172911014,False
1,3,-0.04787131374661391,0.6201258284403597,False
1,4,-0.08961239202082327,0.6494150812952224,False
1,5,-0.15065008055738388,0.6097894199471237,False
1,6,0.046570610410137825,0.6620295010977927,False
1,7,0.9035992876248893,0.9661947179540018,True
1,8,-0.3269507559585525,0.48187230636733414,False
2,0,-0.316052078344551,0.7936500437564243,False
2,1,0.023298438895662445,0.5601479333085299,False
2,2,0.3860622284859387,0.6862216362107616,False
2,3,0.11898916019585387,0.6840110960196176,True
2,4,0.02714240491610553,0.6588591447743105,False
2,5,-0.12619038870300336,0.8054863504101172,False
2,6,0.2279060681075636,0.6250387701870872,False
2,7,-0.41556427576731714,0.6681387466373092,False
2,8,0.08184960690650922,0.6537478285740519,False
3,0,0.061559036455055165,0.8036715972666426,False
3,1,0.07881299815879458,0.6011409891930549,False
3,2,0.013596045797171809,0.5810422666705303,False
3,3,-0.031908764313255296,0.6464496585417776,False
3,4,-0.06555448027313626,0.6672638131605243,False
3,5,0.21724726929626897,0.8081172979754729,False
3,6,-0.363220572721494,0.4670364102938519,False
3,7,-0.5653044461420558,0.5318996626786118,False
3,8,0.773303076836356,0.9012619670900089,True
4,0,-0.5163938125370986,0.6081361329220386,False
4,1,-0.5034297695234516,0.18316779740535027,False
4,2,0.49441425676968304,0.7200785250367882,False
4,3,0.44311306375445497,0.762594242323088,False
4,4,-0.1932056634339582,0.4698230090285617,False
4,5,-0.5419971098660492,0.5390850869680117,False
4,6,0.8573840453469634,0.9274931850074307,True
4,7,-0.11091546045450645,0.6714125673693792,False
4,8,0.12106032767354293,0.6011270423373957,False
5,0,0.639743783756563,0.9466746727579401,True
5,1,-0.5117859106859263,0.4667225997488311,False
5,2,-0.0014837533678546547,0.692032101773637,False
5,3,0.008130239206484105,0.7539690484253185,False
5,4,-0.3716507704611664,0.6972456185136962,False
5,5,0.5547264690103283,0.8974565805476337,False
5,6,-0.13128204353428727,0.7126522973454555,False
5,7,0.061539792590699395,0.7436337591838327,False
5,8,0.045434988562499494,0.7350652914071449,False
6,0,0.05630513276763717,0.7075877519897404,False
6,1,0.8624507481677771,0.9267084464492122,True
6,2,-0.6220952953697431,0.21467342450872884,False
6,3,-0.506718966540697,0.37848090132913853,False
6,4,0.46923857682454734,0.7978952100032323,False
6,5,0.018059561422456474,0.662485710360635,False
6,6,-0.31301687438283554,0.3902335019276328,False
6,7,0.2096021362677343,0.7083954340629746,False
6,8,-0.44216842895546543,0.37698391375977686,False
7,0,-0.23529830257979323,0.818560635809906,False
7,1,-0.5708213276939569,0.37228621537980944,False
7,2,0.6865106718659522,0.8256998706047988,True
7,3,0.33851089723372646,0.7852103145137825,False
7,4,-0.4415014520049874,0.5696710764143812,False
7,5,0.0745092843334123,0.8462518596271726,False
7,6,0.2783182470737147,0.7070548125456018,False
7,7,-0.26894661635628786,0.7177606254090522,False
7,8,0.2590872685298823,0.7423794534239523,False
8,0,-0.06474265222733998,0.8277757784981549,False
8,1,0.45860384656545994,0.7385918592727321,False
8,2,0.11121406855391654,0.6054383665876422,False
8,3,0.05974374088675663,0.6839365892060648,False
8,4,0.11615069619644516,0.7258992876080546,False
8,5,-0.304229320059648,0.7327478727521411,True
8,6,-0.08636528761726515,0.5658060332016172,False
8,7,-0.30384894674164875,0.6883729929338743,False
8,8,-0.07072634722882633,0.6249588555473197,False
