half,block_position,reference_cluster,solution,jaccard,others_best
feature_set,0,1,HG,0.3704,0.5982
feature_set,0,1,15 bands,0.6576,0.5982
feature_set,0,1,5 bands,1.0,0.5982
feature_set,0,1,"5 bands, z",0.6991,0.5982
feature_set,1,4,HG,0.0813,0.4761
feature_set,1,4,15 bands,0.4543,0.4761
feature_set,1,4,5 bands,1.0,0.4761
feature_set,1,4,"5 bands, z",0.3936,0.4761
feature_set,2,3,HG,0.4551,0.6644
feature_set,2,3,15 bands,0.7681,0.6644
feature_set,2,3,5 bands,1.0,0.6644
feature_set,2,3,"5 bands, z",0.771,0.6644
feature_set,3,2,HG,0.027,0.3866
feature_set,3,2,15 bands,0.5605,0.3866
feature_set,3,2,5 bands,1.0,0.3866
feature_set,3,2,"5 bands, z",0.4615,0.3866
feature_set,4,6,HG,0.2397,0.172
feature_set,4,6,15 bands,0.2059,0.172
feature_set,4,6,5 bands,1.0,0.172
feature_set,4,6,"5 bands, z",0.3518,0.172
feature_set,5,7,HG,0.3745,0.3992
feature_set,5,7,15 bands,0.6731,0.3992
feature_set,5,7,5 bands,1.0,0.3992
feature_set,5,7,"5 bands, z",0.2699,0.3992
feature_set,6,0,HG,0.2846,0.3214
feature_set,6,0,15 bands,0.5917,0.3214
feature_set,6,0,5 bands,1.0,0.3214
feature_set,6,0,"5 bands, z",0.4009,0.3214
feature_set,7,5,HG,0.1893,0.6203
feature_set,7,5,15 bands,0.6967,0.6203
feature_set,7,5,5 bands,1.0,0.6203
feature_set,7,5,"5 bands, z",0.543,0.6203
algorithm,0,6,convex NMF,1.0,0.4177
algorithm,0,6,k-means,0.7094,0.4177
algorithm,0,6,Ward,0.3145,0.4177
algorithm,1,0,convex NMF,1.0,0.3835
algorithm,1,0,k-means,0.6728,0.3835
algorithm,1,0,Ward,0.3761,0.3835
algorithm,2,5,convex NMF,1.0,0.7375
algorithm,2,5,k-means,0.782,0.7375
algorithm,2,5,Ward,0.6214,0.7375
algorithm,3,2,convex NMF,1.0,0.1996
algorithm,3,2,k-means,0.4618,0.1996
algorithm,3,2,Ward,0.1309,0.1996
algorithm,4,3,convex NMF,1.0,0.0442
algorithm,4,3,k-means,0.0225,0.0442
algorithm,4,3,Ward,0.3249,0.0442
algorithm,5,4,convex NMF,1.0,0.2998
algorithm,5,4,k-means,0.4111,0.2998
algorithm,5,4,Ward,0.1959,0.2998
algorithm,6,7,convex NMF,1.0,0.0
algorithm,6,7,k-means,0.3563,0.0
algorithm,6,7,Ward,0.0041,0.0
algorithm,7,1,convex NMF,1.0,0.5563
algorithm,7,1,k-means,0.625,0.5563
algorithm,7,1,Ward,0.4219,0.5563
