cluster,reference_cluster,jaccard,block_position
0,3,0.6512,2
1,5,0.3244,6
2,4,0.305,1
3,1,0.1661,4
4,0,0.5426,5
5,6,0.1311,7
6,7,0.5331,0
7,2,0.4042,3
