,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7
s1_c0,19.0,23.0,11.0,45.0,5.0,59.0,15.0,27.0
s1_c1,11.0,23.0,36.0,50.0,3.0,27.0,7.0,20.0
s1_c2,6.0,4.0,96.0,11.0,8.0,5.0,0.0,0.0
s1_c3,6.0,10.0,19.0,33.0,3.0,9.0,75.0,22.0
s1_c4,2.0,3.0,1.0,6.0,84.0,3.0,0.0,3.0
s1_c5,34.0,53.0,3.0,43.0,22.0,24.0,24.0,188.0
s1_c6,15.0,10.0,100.0,60.0,1.0,39.0,13.0,24.0
s1_c7,79.0,16.0,3.0,30.0,2.0,40.0,7.0,4.0
